Time,Observed rainfall - 01/08/2022 00:00,Urban net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Rural net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Sewer loss m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Direct runoff m3/s (Observed rainfall - 01/08/2022) - urbanised model,Baseflow m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total flow m3/s (Observed rainfall - 01/08/2022)- urbanised model
01/08/2022 00:42,0.132094308524548,0.0275960361211686,0.0072453660025577,0,0.0348414021237263,0.0498824891052842,0.0895828548468308,0.139465343952115
01/08/2022 00:43,0.137082839940696,0.0286632456332622,0.0075459006673588,0,0.0362091463006211,0.0530228418620195,0.0895644830342659,0.142587324896285
01/08/2022 00:44,0.14232005020324,0.0297853087708517,0.007863193329034,0,0.0376485020998857,0.0563071210897847,0.0895472612042508,0.145854382294036
01/08/2022 00:45,0.147823672482455,0.030966242523813,0.0081985522515036,0,0.0391647947753166,0.0597409804942581,0.0895312430004374,0.149272223494695
01/08/2022 00:46,0.15361329896066,0.0322104904709957,0.0085534287334765,0,0.0407639192044723,0.0633303708923073,0.0895164843210448,0.152846855213352
01/08/2022 00:47,0.159710657187098,0.0335229862543802,0.0089294384347138,0,0.0424524246890941,0.0670815625273238,0.089503043447679,0.156584605975003
01/08/2022 00:48,0.166139941396304,0.0349092296242524,0.0093283868866659,0,0.0442376165109183,0.0710011698128384,0.0894909811845388,0.160492150997377
01/08/2022 00:49,0.172928212724052,0.0363753782265112,0.0097523002312716,0,0.0461276784577829,0.0750961788740772,0.0894803610091908,0.164576539883268
01/08/2022 00:50,0.180105886609737,0.0379283592900378,0.0102034625533643,0,0.0481318218434021,0.0793739783320191,0.0894712492362773,0.168845227568296
01/08/2022 00:51,0.187707331668567,0.0395760067291794,0.010684461613541,0,0.0502604683427204,0.0838423938687667,0.089463715195747,0.173306109064514
01/08/2022 00:52,0.19577161268391,0.0413272310688696,0.0111982454025536,0,0.0525254764714232,0.088509727232841,0.0894578314274634,0.177967558660304
01/08/2022 00:53,0.204343422226254,0.0431922322790023,0.0117481928058822,0,0.0549404250848845,0.0933848004968897,0.0894536738943823,0.182838474391272
01/08/2022 00:54,0.213474262484391,0.0451827694603684,0.0123382029130268,0,0.0575209723733952,0.0984770065803455,0.0894513222168973,0.187928328797243
01/08/2022 00:55,0.223223963947935,0.0473125069749707,0.0129728093278325,0,0.0602853163028032,0.103796367312962,0.0894508599314654,0.193247227244427
01/08/2022 00:56,0.233662665074756,0.0495974650618618,0.0136573285538705,0,0.0632547936157322,0.109353600666944,0.089452374777277,0.198805975444221
01/08/2022 00:57,0.244873434450382,0.0520566158946724,0.0143980556741175,0,0.0664546715687899,0.115160199262691,0.0894559590155664,0.204616158278258
01/08/2022 00:58,0.256955806945935,0.0547126862767186,0.0152025270255634,0,0.069915213302282,0.121228522912167,0.089461709787246,0.210690232699413
01/08/2022 00:59,0.270030650556692,0.0575932607859361,0.016079879990229,0,0.0736731407761651,0.127571908891882,0.0894697295159817,0.217041638407864
01/08/2022 01:00,0.284247022312085,0.060732333433246,0.0170413573172728,0,0.0777736907505188,0.134204804973326,0.08948012636576,0.223684931339086
01/08/2022 01:01,0.299792088917554,0.0641725494620306,0.0181010331460104,0,0.082273582608041,0.14114293221081,0.0894930147646604,0.230635946975471
01/08/2022 01:02,0.31690593892942,0.0679685471780796,0.0192768912844453,0,0.0872454384625249,0.148403487483533,0.0895085160102886,0.237912003493821
01/08/2022 01:03,0.335904533343351,0.0721921274928967,0.0205924868857719,0,0.0927846143786686,0.15600540049786,0.0895267589777646,0.245532159475625
01/08/2022 01:04,0.357216887305346,0.0769406150807655,0.0220796235567485,0,0.099020238637514,0.163969667653837,0.0895478809592855,0.253517548613122
01/08/2022 01:05,0.381448695778847,0.0823511418856695,0.0237829084692341,0,0.106134050354904,0.172319798370669,0.0895720286769609,0.26189182704763
01/08/2022 01:06,0.40949898264137,0.0886267889712909,0.0257680551502919,0,0.114394844121583,0.181082433405347,0.0895993595313283,0.270681792936676
01/08/2022 01:07,0.442794084249581,0.0960889318782197,0.0281384390544547,0,0.124227370932674,0.190288241378457,0.0896300431839308,0.279918284562387
01/08/2022 01:08,0.483818477549631,0.105295780725141,0.0310724270613554,0,0.136368207786496,0.199973299592898,0.0896642636398721,0.28963756323277
01/08/2022 01:09,0.537558840995908,0.117364252705419,0.0349242802907404,0,0.152288532996159,0.210181407545741,0.0897022221372874,0.299883629683029
01/08/2022 01:10,0.616843361208572,0.135157660687555,0.0405946442608825,0,0.175752304948437,0.220968487962242,0.0897441414947651,0.310712629457007
01/08/2022 01:11,0.785238797626512,0.172802423285313,0.0524798277829812,0,0.225282251068294,0.232413030626576,0.0897902736597814,0.322203304286357
01/08/2022 01:12,1.23646683716756,0.273798097901867,0.0844600252301494,0,0.358258123132017,0.244660597404843,0.0898409189933996,0.334501516398243
01/08/2022 01:13,0.909556220359482,0.202733328102171,0.0635532671721066,0,0.266286595274277,0.25807516383173,0.0898964877847948,0.347971651616525
01/08/2022 01:14,0.801616861614985,0.179605556279096,0.0570117392618811,0,0.236617295540977,0.272737318184227,0.089957488585724,0.362694806769951
01/08/2022 01:15,0.737700528646378,0.166055650729233,0.0532942064536158,0,0.219349857182849,0.28840272583665,0.09002440039884,0.37842712623549
01/08/2022 01:16,0.692081579885205,0.156458558508833,0.0507202702343863,0,0.207178828743219,0.304976783073553,0.0900976344754083,0.395074417548961
01/08/2022 01:17,0.656526215358964,0.149021578583727,0.0487603347095557,0,0.197781913293283,0.322400015568629,0.0901775722473717,0.412577587816
01/08/2022 01:18,0.627338883835126,0.14294320913249,0.0471800454941602,0,0.19012325462665,0.340628776101198,0.0902645755968609,0.430893351698059
01/08/2022 01:19,0.602544337555603,0.137796640883625,0.0458558482382972,0,0.183652489121923,0.359628505208288,0.0903589917933666,0.449987497001655
01/08/2022 01:20,0.580964008084607,0.133328132102906,0.0447150126264241,0,0.178043144729331,0.379370544992394,0.0904611564189503,0.469831701411344
01/08/2022 01:21,0.561838769132876,0.12937482807336,0.0437113184029488,0,0.173086146476309,0.399830376325622,0.0905713952993524,0.490401771624974
01/08/2022 01:22,0.544651210846268,0.125826120408664,0.0428136827453782,0,0.168639803154042,0.420986541271294,0.090690025869528,0.511676567140822
01/08/2022 01:23,0.529032949135061,0.122603533290979,0.042000270717846,0,0.164603804008825,0.442819936713906,0.0908173581870106,0.533637294900917
01/08/2022 01:24,0.514712434869423,0.119649419536871,0.041255202079944,0,0.160904621616815,0.465313326612466,0.0909536957115549,0.556267022324021
01/08/2022 01:25,0.5014837484113,0.116920214447613,0.0405665957891342,0,0.157486810236747,0.488450991345586,0.0910993359220796,0.579550327267665
01/08/2022 01:26,0.489187015246117,0.114382209776092,0.0399253511348532,0,0.154307560910946,0.512218467340641,0.0912545708160502,0.603473038156691
01/08/2022 01:27,0.477695613579083,0.112008798357097,0.0393243570106995,0,0.151333155367796,0.536602348554079,0.0914196873213267,0.628022035875406
01/08/2022 01:28,0.466907532962022,0.109778616218523,0.0387579614096373,0,0.148536577628161,0.561590131724302,0.091594967641208,0.65318509936551
01/08/2022 01:29,0.45673936737985,0.107674253437957,0.0382216051647775,0,0.145895858602735,0.587170093459334,0.0917806895474215,0.678950783006756
01/08/2022 01:30,0.447122035124043,0.105681337242276,0.0377115627583246,0,0.1433929000006,0.613331191021355,0.0919771266318331,0.705308317653189
01/08/2022 01:31,0.437997662576638,0.103787865644649,0.0372247549041242,0,0.141012620548774,0.640062981107444,0.092184548524916,0.73224752963236
01/08/2022 01:32,0.429317271917792,0.101983713878372,0.03675861043452,0,0.138742324312892,0.667355552538089,0.0924032210870962,0.759758773625185
01/08/2022 01:33,0.421039036218279,0.100260262608829,0.0363109627948941,0,0.136571225403724,0.695199469860248,0.0926334065777043,0.787832876437953
01/08/2022 01:34,0.413126942730091,0.0986101136307225,0.0358799713003298,0,0.134490084931052,0.723585725633479,0.0928753638052472,0.816461089438726
01/08/2022 01:35,0.405549754937518,0.0970268695035833,0.0354640604165801,0,0.132490929920163,0.752505699708434,0.0931293482619509,0.845635047970385
01/08/2022 01:36,0.398280196679593,0.0955049606448697,0.0350618723652474,0,0.130566833010117,0.781951124198172,0.0933956122449477,0.87534673644312
01/08/2022 01:37,0.391294303668765,0.0940395081449764,0.0346722297174985,0,0.128711737862475,0.811914053130251,0.0936744049660388,0.90558845809629
01/08/2022 01:38,0.384570902810175,0.0926262138154582,0.0342941055716241,0,0.126920319387082,0.842386835982219,0.0939659726516143,0.936352808633833
01/08/2022 01:39,0.378091190235168,0.0912612712422665,0.0339265995560366,0,0.125187870798303,0.873362094465419,0.0942705586340415,0.967632653099461
01/08/2022 01:40,0.371838386401279,0.0899412932141747,0.033568918354967,0,0.123510211569142,0.904832702046377,0.0945884034356127,0.99942110548199
01/08/2022 01:41,0.365797451953636,0.0886632520433868,0.0332203597801294,0,0.121883611823516,0.936791765791279,0.0949197448459726,1.03171151063725
01/08/2022 01:42,0.359954851929455,0.0874244301287607,0.0328802996478497,0,0.12030472977661,0.969232610194438,0.0952648179937998,1.06449742818824
